drug	drug_action	KDT	KDT_name	Drug_effect	drugKDT
Human immunoglobulin G	binder	721	C4B	Ligand	Human immunoglobulin G721
Eculizumab	antibody	727	C5	Ligand	Eculizumab727
Human immunoglobulin G	binder	727	C5	Ligand	Human immunoglobulin G727
Ravulizumab	inhibitor	727	C5	Inhibitor	Ravulizumab727
Avacopan	antagonist	728	C5AR1	Inhibitor	Avacopan728
Diclofenamide	inhibitor	759	CA1	Inhibitor	Diclofenamide759
Acetazolamide	inhibitor	759	CA1	Inhibitor	Acetazolamide759
Chlorothiazide	inhibitor	759	CA1	Inhibitor	Chlorothiazide759
Dorzolamide	inhibitor	759	CA1	Inhibitor	Dorzolamide759
Methazolamide	inhibitor	759	CA1	Inhibitor	Methazolamide759
Chlorthalidone	inhibitor	759	CA1	Inhibitor	Chlorthalidone759
Diazoxide	inhibitor	759	CA1	Inhibitor	Diazoxide759
Sodium sulfate	inhibitor	759	CA1	Inhibitor	Sodium sulfate759
Quinethazone	inhibitor	759	CA1	Inhibitor	Quinethazone759
Methazolamide	inhibitor	760	CA2	Inhibitor	Methazolamide760
Sodium sulfate	inhibitor	760	CA2	Inhibitor	Sodium sulfate760
Quinethazone	inhibitor	760	CA2	Inhibitor	Quinethazone760
Diazoxide	inhibitor	760	CA2	Inhibitor	Diazoxide760
Topiramate	inhibitor	760	CA2	Inhibitor	Topiramate760
Acetazolamide	inhibitor	760	CA2	Inhibitor	Acetazolamide760
Dorzolamide	inhibitor	760	CA2	Inhibitor	Dorzolamide760
Chlorothiazide	inhibitor	760	CA2	Inhibitor	Chlorothiazide760
Diclofenamide	inhibitor	760	CA2	Inhibitor	Diclofenamide760
Brinzolamide	inhibitor	760	CA2	Inhibitor	Brinzolamide760
Acetazolamide	inhibitor	761	CA3	Inhibitor	Acetazolamide761
Diclofenamide	inhibitor	762	CA4	Inhibitor	Diclofenamide762
Methazolamide	inhibitor	762	CA4	Inhibitor	Methazolamide762
Dorzolamide	inhibitor	762	CA4	Inhibitor	Dorzolamide762
Acetazolamide	inhibitor	762	CA4	Inhibitor	Acetazolamide762
Topiramate	inhibitor	762	CA4	Inhibitor	Topiramate762
Diclofenamide	inhibitor	766	CA7	Inhibitor	Diclofenamide766
Methazolamide	inhibitor	766	CA7	Inhibitor	Methazolamide766
Acetazolamide	inhibitor	766	CA7	Inhibitor	Acetazolamide766
Acetazolamide	inhibitor	771	CA12	Inhibitor	Acetazolamide771
Levetiracetam	inhibitor	774	CACNA1B	Inhibitor	Levetiracetam774
Ziconotide	inhibitor	774	CACNA1B	Inhibitor	Ziconotide774
Nicardipine	inhibitor	775	CACNA1C	Inhibitor	Nicardipine775
Isradipine	inhibitor	775	CACNA1C	Inhibitor	Isradipine775
Nilvadipine	inhibitor	775	CACNA1C	Inhibitor	Nilvadipine775
Verapamil	inhibitor	775	CACNA1C	Inhibitor	Verapamil775
Cinnarizine	inhibitor	775	CACNA1C	Inhibitor	Cinnarizine775
Felodipine	inhibitor	775	CACNA1C	Inhibitor	Felodipine775
Amlodipine	inhibitor	775	CACNA1C	Inhibitor	Amlodipine775
Dronedarone	inhibitor	775	CACNA1C	Inhibitor	Dronedarone775
Diltiazem	blocker	775	CACNA1C	Inhibitor	Diltiazem775
Propiverine	antagonist	775	CACNA1C	Inhibitor	Propiverine775
Nifedipine	inhibitor	775	CACNA1C	Inhibitor	Nifedipine775
Nitrendipine	inhibitor	775	CACNA1C	Inhibitor	Nitrendipine775
Nimodipine	inhibitor	775	CACNA1C	Inhibitor	Nimodipine775
Nisoldipine	inhibitor	775	CACNA1C	Inhibitor	Nisoldipine775
Ibutilide	activator	775	CACNA1C	Activator	Ibutilide775
Dronedarone	inhibitor	776	CACNA1D	Inhibitor	Dronedarone776
Nifedipine	inhibitor	776	CACNA1D	Inhibitor	Nifedipine776
Felodipine	inhibitor	776	CACNA1D	Inhibitor	Felodipine776
Nimodipine	inhibitor	776	CACNA1D	Inhibitor	Nimodipine776
Cinnarizine	inhibitor	776	CACNA1D	Inhibitor	Cinnarizine776
Nitrendipine	inhibitor	776	CACNA1D	Inhibitor	Nitrendipine776
Isradipine	inhibitor	776	CACNA1D	Inhibitor	Isradipine776
Nisoldipine	inhibitor	776	CACNA1D	Inhibitor	Nisoldipine776
Nicardipine	inhibitor	776	CACNA1D	Inhibitor	Nicardipine776
Lamotrigine	inhibitor	777	CACNA1E	Inhibitor	Lamotrigine777
Dronedarone	inhibitor	778	CACNA1F	Inhibitor	Dronedarone778
Cinnarizine	inhibitor	778	CACNA1F	Inhibitor	Cinnarizine778
Nimodipine	inhibitor	778	CACNA1F	Inhibitor	Nimodipine778
Isradipine	inhibitor	779	CACNA1S	Inhibitor	Isradipine779
Nimodipine	inhibitor	779	CACNA1S	Inhibitor	Nimodipine779
Cinnarizine	inhibitor	779	CACNA1S	Inhibitor	Cinnarizine779
Felodipine	inhibitor	779	CACNA1S	Inhibitor	Felodipine779
Nitrendipine	inhibitor	779	CACNA1S	Inhibitor	Nitrendipine779
Nisoldipine	inhibitor	779	CACNA1S	Inhibitor	Nisoldipine779
Pinaverium	antagonist|inhibitor	779	CACNA1S	Inhibitor	Pinaverium779
Dronedarone	inhibitor	779	CACNA1S	Inhibitor	Dronedarone779
Nicardipine	inhibitor	781	CACNA2D1	Inhibitor	Nicardipine781
Pregabalin	other	781	CACNA2D1	Other	Pregabalin781
Isradipine	inhibitor	781	CACNA2D1	Inhibitor	Isradipine781
Nilvadipine	inhibitor	781	CACNA2D1	Inhibitor	Nilvadipine781
Felodipine	inhibitor	781	CACNA2D1	Inhibitor	Felodipine781
Gabapentin	inhibitor	781	CACNA2D1	Inhibitor	Gabapentin781
Nitrendipine	inhibitor	781	CACNA2D1	Inhibitor	Nitrendipine781
Nisoldipine	inhibitor	781	CACNA2D1	Inhibitor	Nisoldipine781
Nimodipine	inhibitor	782	CACNB1	Inhibitor	Nimodipine782
Dronedarone	inhibitor	782	CACNB1	Inhibitor	Dronedarone782
Ibutilide	activator	782	CACNB1	Activator	Ibutilide782
Nifedipine	inhibitor	783	CACNB2	Inhibitor	Nifedipine783
Nimodipine	inhibitor	783	CACNB2	Inhibitor	Nimodipine783
Nilvadipine	inhibitor	783	CACNB2	Inhibitor	Nilvadipine783
Nisoldipine	inhibitor	783	CACNB2	Inhibitor	Nisoldipine783
Dronedarone	inhibitor	783	CACNB2	Inhibitor	Dronedarone783
Felodipine	inhibitor	783	CACNB2	Inhibitor	Felodipine783
Isradipine	inhibitor	783	CACNB2	Inhibitor	Isradipine783
Nicardipine	inhibitor	783	CACNB2	Inhibitor	Nicardipine783
Nitrendipine	inhibitor	783	CACNB2	Inhibitor	Nitrendipine783
Nimodipine	inhibitor	784	CACNB3	Inhibitor	Nimodipine784
Dronedarone	inhibitor	784	CACNB3	Inhibitor	Dronedarone784
Dronedarone	inhibitor	785	CACNB4	Inhibitor	Dronedarone785
Nimodipine	inhibitor	785	CACNB4	Inhibitor	Nimodipine785
Lercanidipine	inhibitor	786	CACNG1	Inhibitor	Lercanidipine786
Diltiazem	blocker	786	CACNG1	Inhibitor	Diltiazem786
Eptinezumab	binder|antibody	796	CALCA	Ligand	Eptinezumab796
Galcanezumab	antibody	796	CALCA	Ligand	Galcanezumab796
Fremanezumab	binder|antibody	796	CALCA	Ligand	Fremanezumab796
Fremanezumab	binder|antibody	797	CALCB	Ligand	Fremanezumab797
Galcanezumab	antibody	797	CALCB	Ligand	Galcanezumab797
Eptinezumab	binder|antibody	797	CALCB	Ligand	Eptinezumab797
Pramlintide	agonist	799	CALCR	Activator	Pramlintide799
Flunarizine	antagonist	801	CALM1	Inhibitor	Flunarizine801
Flunarizine	antagonist	805	CALM2	Inhibitor	Flunarizine805
Voclosporin	binder	819	CAMLG	Ligand	Voclosporin819
Cyclosporine	binder	819	CAMLG	Ligand	Cyclosporine819
Glycyrrhizic acid	antagonist	836	CASP3	Inhibitor	Glycyrrhizic acid836
Calcium Phosphate	agonist	846	CASR	Activator	Calcium Phosphate846
Calcium citrate	agonist	846	CASR	Activator	Calcium citrate846
Cinacalcet	agonist	846	CASR	Activator	Cinacalcet846
Calcium phosphate dihydrate	other	846	CASR	Other	Calcium phosphate dihydrate846
Etelcalcetide	agonist	846	CASR	Activator	Etelcalcetide846
Fomepizole	inhibitor	847	CAT	Inhibitor	Fomepizole847
Ceruletide	inducer	886	CCKAR	Activator	Ceruletide886
Pentagastrin	agonist	887	CCKBR	Activator	Pentagastrin887
Muromonab	other	915	CD3D	Other	Muromonab915
Blinatumomab	antibody|activator	915	CD3D	Activator	Blinatumomab915
Mosunetuzumab	binder	916	CD3E	Ligand	Mosunetuzumab916
Muromonab	binder	916	CD3E	Ligand	Muromonab916
Teplizumab	antibody	916	CD3E	Ligand	Teplizumab916
Muromonab	other	917	CD3G	Other	Muromonab917
Muromonab	other	919	CD247	Other	Muromonab919
Antithymocyte immunoglobulin (rabbit)	other	920	CD4	Other	Antithymocyte immunoglobulin (rabbit)920
Tisagenlecleucel	antibody	930	CD19	Ligand	Tisagenlecleucel930
Axicabtagene ciloleucel	antibody	930	CD19	Ligand	Axicabtagene ciloleucel930
Inebilizumab	binder	930	CD19	Ligand	Inebilizumab930
Brexucabtagene autoleucel	binder	930	CD19	Ligand	Brexucabtagene autoleucel930
Blinatumomab	antibody|activator|regulator	930	CD19	Activator	Blinatumomab930
Tositumomab	antibody	931	MS4A1	Ligand	Tositumomab931
Ibritumomab tiuxetan	antibody|regulator	931	MS4A1	Ligand	Ibritumomab tiuxetan931
Ublituximab	binder|antibody	931	MS4A1	Ligand	Ublituximab931
Ofatumumab	antibody|regulator	931	MS4A1	Ligand	Ofatumumab931
Obinutuzumab	antibody|regulator	931	MS4A1	Ligand	Obinutuzumab931
Ocrelizumab	antagonist|antibody	931	MS4A1	Inhibitor	Ocrelizumab931
Mosunetuzumab	binder	931	MS4A1	Ligand	Mosunetuzumab931
Rituximab	antibody|regulator	931	MS4A1	Ligand	Rituximab931
Inotuzumab ozogamicin	antibody|regulator	933	CD22	Ligand	Inotuzumab ozogamicin933
Moxetumomab pasudotox	binder|antibody|regulator	933	CD22	Ligand	Moxetumomab pasudotox933
Belatacept	antagonist	941	CD80	Inhibitor	Belatacept941
Abatacept	antagonist	941	CD80	Inhibitor	Abatacept941
Antithymocyte immunoglobulin (rabbit)	binder	942	CD86	Ligand	Antithymocyte immunoglobulin (rabbit)942
Belatacept	antagonist	942	CD86	Inhibitor	Belatacept942
Abatacept	antagonist	942	CD86	Inhibitor	Abatacept942
Brentuximab vedotin	binder|antibody|regulator	943	TNFRSF8	Ligand	Brentuximab vedotin943
Gemtuzumab ozogamicin	antibody|regulator	945	CD33	Ligand	Gemtuzumab ozogamicin945
Hyaluronic acid	binder	960	CD44	Ligand	Hyaluronic acid960
Polatuzumab vedotin	antibody	974	CD79B	Ligand	Polatuzumab vedotin974
Cedazuridine	inhibitor	978	CDA	Inhibitor	Cedazuridine978
Ribociclib	antagonist|inhibitor	1019	CDK4	Inhibitor	Ribociclib1019
Palbociclib	inhibitor	1019	CDK4	Inhibitor	Palbociclib1019
Abemaciclib	inhibitor	1019	CDK4	Inhibitor	Abemaciclib1019
Trilaciclib	inhibitor	1019	CDK4	Inhibitor	Trilaciclib1019
Trilaciclib	inhibitor	1021	CDK6	Inhibitor	Trilaciclib1021
Palbociclib	inhibitor	1021	CDK6	Inhibitor	Palbociclib1021
Ribociclib	antagonist|inhibitor	1021	CDK6	Inhibitor	Ribociclib1021
Abemaciclib	inhibitor	1021	CDK6	Inhibitor	Abemaciclib1021
Alemtuzumab	antibody	1043	CD52	Ligand	Alemtuzumab1043
Lumacaftor	modulator	1080	CFTR	Modulator	Lumacaftor1080
Tezacaftor	activator	1080	CFTR	Activator	Tezacaftor1080
Ivacaftor	potentiator	1080	CFTR	Activator	Ivacaftor1080
Elexacaftor	modulator	1080	CFTR	Modulator	Elexacaftor1080
Crofelemer	antagonist	1080	CFTR	Inhibitor	Crofelemer1080
Biperiden	antagonist	1128	CHRM1	Inhibitor	Biperiden1128
Methscopolamine bromide	antagonist	1128	CHRM1	Inhibitor	Methscopolamine bromide1128
Flavoxate	antagonist	1128	CHRM1	Inhibitor	Flavoxate1128
Pirenzepine	antagonist	1128	CHRM1	Inhibitor	Pirenzepine1128
Dicyclomine	antagonist	1128	CHRM1	Inhibitor	Dicyclomine1128
Homatropine	antagonist	1128	CHRM1	Inhibitor	Homatropine1128
Benzatropine	antagonist	1128	CHRM1	Inhibitor	Benzatropine1128
Anisotropine methylbromide	antagonist	1128	CHRM1	Inhibitor	Anisotropine methylbromide1128
Glycopyrronium	antagonist	1128	CHRM1	Inhibitor	Glycopyrronium1128
Buclizine	antagonist	1128	CHRM1	Inhibitor	Buclizine1128
Scopolamine	antagonist	1128	CHRM1	Inhibitor	Scopolamine1128
Procyclidine	antagonist	1128	CHRM1	Inhibitor	Procyclidine1128
Tropicamide	antagonist	1128	CHRM1	Inhibitor	Tropicamide1128
Clidinium	antagonist	1128	CHRM1	Inhibitor	Clidinium1128
Triflupromazine	antagonist	1128	CHRM1	Inhibitor	Triflupromazine1128
Homatropine methylbromide	antagonist	1128	CHRM1	Inhibitor	Homatropine methylbromide1128
Hyoscyamine	antagonist	1128	CHRM1	Inhibitor	Hyoscyamine1128
Aclidinium	antagonist	1128	CHRM1	Inhibitor	Aclidinium1128
Mepenzolate	antagonist	1128	CHRM1	Inhibitor	Mepenzolate1128
Tolterodine	antagonist	1128	CHRM1	Inhibitor	Tolterodine1128
Oxyphencyclimine	antagonist	1128	CHRM1	Inhibitor	Oxyphencyclimine1128
Cyclopentolate	antagonist	1128	CHRM1	Inhibitor	Cyclopentolate1128
Propantheline	antagonist	1128	CHRM1	Inhibitor	Propantheline1128
Metoclopramide	agonist	1128	CHRM1	Activator	Metoclopramide1128
Profenamine	antagonist	1128	CHRM1	Inhibitor	Profenamine1128
Trihexyphenidyl	antagonist	1128	CHRM1	Inhibitor	Trihexyphenidyl1128
Propiverine	antagonist	1128	CHRM1	Inhibitor	Propiverine1128
Oxybutynin	antagonist	1128	CHRM1	Inhibitor	Oxybutynin1128
Atropine	antagonist	1128	CHRM1	Inhibitor	Atropine1128
Carbamoylcholine	agonist	1128	CHRM1	Activator	Carbamoylcholine1128
Cycrimine	antagonist	1128	CHRM1	Inhibitor	Cycrimine1128
Cevimeline	agonist	1128	CHRM1	Activator	Cevimeline1128
Trimebutine	antagonist	1128	CHRM1	Inhibitor	Trimebutine1128
Dosulepin	antagonist	1128	CHRM1	Inhibitor	Dosulepin1128
Ipratropium	antagonist	1128	CHRM1	Inhibitor	Ipratropium1128
Pilocarpine	agonist	1128	CHRM1	Activator	Pilocarpine1128
Oxyphenonium	antagonist	1128	CHRM1	Inhibitor	Oxyphenonium1128
Dimetindene	antagonist	1129	CHRM2	Inhibitor	Dimetindene1129
Homatropine methylbromide	antagonist	1129	CHRM2	Inhibitor	Homatropine methylbromide1129
Hyoscyamine	antagonist	1129	CHRM2	Inhibitor	Hyoscyamine1129
Oxybutynin	antagonist	1129	CHRM2	Inhibitor	Oxybutynin1129
Procyclidine	antagonist	1129	CHRM2	Inhibitor	Procyclidine1129
Homatropine	antagonist	1129	CHRM2	Inhibitor	Homatropine1129
Dosulepin	antagonist	1129	CHRM2	Inhibitor	Dosulepin1129
Glycopyrronium	antagonist	1129	CHRM2	Inhibitor	Glycopyrronium1129
Atropine	antagonist	1129	CHRM2	Inhibitor	Atropine1129
Triflupromazine	antagonist	1129	CHRM2	Inhibitor	Triflupromazine1129
Flavoxate	antagonist	1129	CHRM2	Inhibitor	Flavoxate1129
Oxyphencyclimine	antagonist	1129	CHRM2	Inhibitor	Oxyphencyclimine1129
Tropicamide	antagonist	1129	CHRM2	Inhibitor	Tropicamide1129
Scopolamine	antagonist	1129	CHRM2	Inhibitor	Scopolamine1129
Propiverine	antagonist	1129	CHRM2	Inhibitor	Propiverine1129
Pilocarpine	agonist	1129	CHRM2	Activator	Pilocarpine1129
Carbamoylcholine	agonist	1129	CHRM2	Activator	Carbamoylcholine1129
Aclidinium	antagonist	1129	CHRM2	Inhibitor	Aclidinium1129
Methscopolamine bromide	antagonist	1129	CHRM2	Inhibitor	Methscopolamine bromide1129
Cryptenamine	antagonist	1129	CHRM2	Inhibitor	Cryptenamine1129
Rocuronium	antagonist	1129	CHRM2	Inhibitor	Rocuronium1129
Trimebutine	antagonist	1129	CHRM2	Inhibitor	Trimebutine1129
Umeclidinium	antagonist	1129	CHRM2	Inhibitor	Umeclidinium1129
Gallamine triethiodide	antagonist	1129	CHRM2	Inhibitor	Gallamine triethiodide1129
Ipratropium	antagonist	1129	CHRM2	Inhibitor	Ipratropium1129
Tolterodine	antagonist	1129	CHRM2	Inhibitor	Tolterodine1129
Anisotropine methylbromide	antagonist	1129	CHRM2	Inhibitor	Anisotropine methylbromide1129
Methacholine	agonist	1129	CHRM2	Activator	Methacholine1129
Tiotropium	antagonist	1131	CHRM3	Inhibitor	Tiotropium1131
Bethanechol	agonist	1131	CHRM3	Activator	Bethanechol1131
Methacholine	agonist	1131	CHRM3	Activator	Methacholine1131
Fesoterodine	antagonist	1131	CHRM3	Inhibitor	Fesoterodine1131
Isopropamide	antagonist	1131	CHRM3	Inhibitor	Isopropamide1131
Aclidinium	antagonist	1131	CHRM3	Inhibitor	Aclidinium1131
Trimebutine	antagonist	1131	CHRM3	Inhibitor	Trimebutine1131
Hexocyclium	antagonist	1131	CHRM3	Inhibitor	Hexocyclium1131
Oxybutynin	antagonist	1131	CHRM3	Inhibitor	Oxybutynin1131
Tolterodine	antagonist	1131	CHRM3	Inhibitor	Tolterodine1131
Procyclidine	antagonist	1131	CHRM3	Inhibitor	Procyclidine1131
Darifenacin	antagonist	1131	CHRM3	Inhibitor	Darifenacin1131
Homatropine methylbromide	antagonist	1131	CHRM3	Inhibitor	Homatropine methylbromide1131
Solifenacin	antagonist	1131	CHRM3	Inhibitor	Solifenacin1131
Dosulepin	antagonist	1131	CHRM3	Inhibitor	Dosulepin1131
Ipratropium	antagonist	1131	CHRM3	Inhibitor	Ipratropium1131
Umeclidinium	antagonist	1131	CHRM3	Inhibitor	Umeclidinium1131
Butylscopolamine	antagonist	1131	CHRM3	Inhibitor	Butylscopolamine1131
Atropine	antagonist	1131	CHRM3	Inhibitor	Atropine1131
Anisotropine methylbromide	antagonist	1131	CHRM3	Inhibitor	Anisotropine methylbromide1131
Homatropine	antagonist	1131	CHRM3	Inhibitor	Homatropine1131
Mepenzolate	antagonist	1131	CHRM3	Inhibitor	Mepenzolate1131
Scopolamine	antagonist	1131	CHRM3	Inhibitor	Scopolamine1131
Glycopyrronium	antagonist	1131	CHRM3	Inhibitor	Glycopyrronium1131
Cevimeline	agonist	1131	CHRM3	Activator	Cevimeline1131
Propiverine	antagonist	1131	CHRM3	Inhibitor	Propiverine1131
Oxyphencyclimine	antagonist	1131	CHRM3	Inhibitor	Oxyphencyclimine1131
Pilocarpine	agonist	1131	CHRM3	Activator	Pilocarpine1131
Homatropine methylbromide	antagonist	1132	CHRM4	Inhibitor	Homatropine methylbromide1132
Scopolamine	antagonist	1132	CHRM4	Inhibitor	Scopolamine1132
Homatropine	antagonist	1132	CHRM4	Inhibitor	Homatropine1132
Tropicamide	antagonist	1132	CHRM4	Inhibitor	Tropicamide1132
Atropine	antagonist	1132	CHRM4	Inhibitor	Atropine1132
Dosulepin	antagonist	1132	CHRM4	Inhibitor	Dosulepin1132
Glycopyrronium	antagonist	1132	CHRM4	Inhibitor	Glycopyrronium1132
Aclidinium	antagonist	1132	CHRM4	Inhibitor	Aclidinium1132
Trimebutine	antagonist	1132	CHRM4	Inhibitor	Trimebutine1132
Procyclidine	antagonist	1132	CHRM4	Inhibitor	Procyclidine1132
Tolterodine	antagonist	1132	CHRM4	Inhibitor	Tolterodine1132
Aclidinium	antagonist	1133	CHRM5	Inhibitor	Aclidinium1133
Dosulepin	antagonist	1133	CHRM5	Inhibitor	Dosulepin1133
Scopolamine	antagonist	1133	CHRM5	Inhibitor	Scopolamine1133
Atropine	antagonist	1133	CHRM5	Inhibitor	Atropine1133
Homatropine methylbromide	antagonist	1133	CHRM5	Inhibitor	Homatropine methylbromide1133
Tolterodine	antagonist	1133	CHRM5	Inhibitor	Tolterodine1133
Homatropine	antagonist	1133	CHRM5	Inhibitor	Homatropine1133
Propiverine	other	1133	CHRM5	Other	Propiverine1133
Pipecuronium	antagonist	1135	CHRNA2	Inhibitor	Pipecuronium1135
Metocurine	antagonist	1135	CHRNA2	Inhibitor	Metocurine1135
Tubocurarine	antagonist	1135	CHRNA2	Inhibitor	Tubocurarine1135
Rocuronium	antagonist	1135	CHRNA2	Inhibitor	Rocuronium1135
Carbamoylcholine	agonist	1135	CHRNA2	Activator	Carbamoylcholine1135
Pancuronium	antagonist	1135	CHRNA2	Inhibitor	Pancuronium1135
Atracurium besylate	antagonist	1135	CHRNA2	Inhibitor	Atracurium besylate1135
Doxacurium	antagonist	1135	CHRNA2	Inhibitor	Doxacurium1135
Vecuronium	antagonist	1135	CHRNA2	Inhibitor	Vecuronium1135
Decamethonium	partial agonist	1135	CHRNA2	Activator	Decamethonium1135
Mivacurium	antagonist	1135	CHRNA2	Inhibitor	Mivacurium1135
Mecamylamine	antagonist	1135	CHRNA2	Inhibitor	Mecamylamine1135
Pentolinium	antagonist	1136	CHRNA3	Inhibitor	Pentolinium1136
Varenicline	partial agonist	1137	CHRNA4	Activator	Varenicline1137
Nicotine	agonist	1137	CHRNA4	Activator	Nicotine1137
Methadone	agonist	1139	CHRNA7	Activator	Methadone1139
Galantamine	allosteric modulator	1139	CHRNA7	Modulator	Galantamine1139
Nicotine	agonist	1139	CHRNA7	Activator	Nicotine1139
Nicotine	agonist	1141	CHRNB2	Activator	Nicotine1141
Pentolinium	antagonist	1143	CHRNB4	Inhibitor	Pentolinium1143
Creatine	ligand	1152	CKB	Ligand	Creatine1152
Creatine	ligand	1158	CKM	Ligand	Creatine1158
Creatine	ligand	1159	CKMT1B	Ligand	Creatine1159
Creatine	ligand	1160	CKMT2	Ligand	Creatine1160
Lubiprostone	inducer	1181	CLCN2	Activator	Lubiprostone1181
Mogamulizumab	antagonist	1233	CCR4	Inhibitor	Mogamulizumab1233
Maraviroc	antagonist|inhibitor	1234	CCR5	Inhibitor	Maraviroc1234
Sulfinpyrazone	inhibitor	1244	ABCC2	Inhibitor	Sulfinpyrazone1244
Cannabidiol	antagonist|modulator	1268	CNR1	Inhibitor	Cannabidiol1268
Dronabinol	agonist	1268	CNR1	Activator	Dronabinol1268
Rimonabant	antagonist	1268	CNR1	Inhibitor	Rimonabant1268
Nabilone	partial agonist	1268	CNR1	Activator	Nabilone1268
Dronabinol	agonist	1269	CNR2	Activator	Dronabinol1269
Nabilone	partial agonist	1269	CNR2	Activator	Nabilone1269
Vonicog alfa	binder	1277	COL1A1	Ligand	Vonicog alfa1277
Von Willebrand factor human	binder	1277	COL1A1	Ligand	Von Willebrand factor human1277
Collagenase clostridium histolyticum	binder	1277	COL1A1	Ligand	Collagenase clostridium histolyticum1277
Collagenase clostridium histolyticum	binder	1280	COL2A1	Ligand	Collagenase clostridium histolyticum1280
Collagenase clostridium histolyticum	binder	1281	COL3A1	Ligand	Collagenase clostridium histolyticum1281
Opicapone	inhibitor	1312	COMT	Inhibitor	Opicapone1312
Entacapone	inhibitor	1312	COMT	Inhibitor	Entacapone1312
Prothrombin	agonist	1361	CPB2	Activator	Prothrombin1361
Carglumic acid	allosteric modulator	1373	CPS1	Modulator	Carglumic acid1373
Perhexiline	inhibitor	1374	CPT1A	Inhibitor	Perhexiline1374
Perhexiline	inhibitor	1376	CPT2	Inhibitor	Perhexiline1376
Pexidartinib	inhibitor	1436	CSF1R	Inhibitor	Pexidartinib1436
Sunitinib	inhibitor	1436	CSF1R	Inhibitor	Sunitinib1436
Sargramostim	agonist	1438	CSF2RA	Activator	Sargramostim1438
Foreskin keratinocyte (neonatal)	agonist	1438	CSF2RA	Activator	Foreskin keratinocyte (neonatal)1438
Sargramostim	agonist	1439	CSF2RB	Activator	Sargramostim1439
Lenograstim	agonist	1441	CSF3R	Activator	Lenograstim1441
Eflapegrastim	ligand	1441	CSF3R	Ligand	Eflapegrastim1441
Filgrastim	stimulator	1441	CSF3R	Activator	Filgrastim1441
Pegfilgrastim	agonist	1441	CSF3R	Activator	Pegfilgrastim1441
Lipegfilgrastim	agonist	1441	CSF3R	Activator	Lipegfilgrastim1441
Ipilimumab	inhibitor|antibody	1493	CTLA4	Inhibitor	Ipilimumab1493
Tremelimumab	inhibitor|antibody	1493	CTLA4	Inhibitor	Tremelimumab1493
Cobicistat	substrate|inhibitor	1576	CYP3A4	Inhibitor	Cobicistat1576
Aminoglutethimide	inhibitor	1583	CYP11A1	Inhibitor	Aminoglutethimide1583
Levoketoconazole	inhibitor	1583	CYP11A1	Inhibitor	Levoketoconazole1583
Osilodrostat	inhibitor	1584	CYP11B1	Inhibitor	Osilodrostat1584
Levoketoconazole	inhibitor	1584	CYP11B1	Inhibitor	Levoketoconazole1584
Mitotane	inducer	1584	CYP11B1	Activator	Mitotane1584
Metyrapone	inhibitor	1584	CYP11B1	Inhibitor	Metyrapone1584
Levoketoconazole	inhibitor	1585	CYP11B2	Inhibitor	Levoketoconazole1585
Levoketoconazole	inhibitor	1586	CYP17A1	Inhibitor	Levoketoconazole1586
Abiraterone	inhibitor	1586	CYP17A1	Inhibitor	Abiraterone1586
Ketoconazole	inhibitor	1586	CYP17A1	Inhibitor	Ketoconazole1586
Exemestane	inhibitor	1588	CYP19A1	Inhibitor	Exemestane1588
Aminoglutethimide	inhibitor	1588	CYP19A1	Inhibitor	Aminoglutethimide1588
Testolactone	inhibitor	1588	CYP19A1	Inhibitor	Testolactone1588
Letrozole	antagonist	1588	CYP19A1	Inhibitor	Letrozole1588
Anastrozole	inhibitor	1588	CYP19A1	Inhibitor	Anastrozole1588
Itraconazole	inhibitor	1595	CYP51A1	Inhibitor	Itraconazole1595
Dopamine	ligand	1621	DBH	Ligand	Dopamine1621
Disulfiram	inhibitor	1621	DBH	Inhibitor	Disulfiram1621
Fludarabine	agonist	1633	DCK	Activator	Fludarabine1633
Perindopril	inhibitor	1636	ACE	Inhibitor	Perindopril1636
Enalaprilat	inhibitor	1636	ACE	Inhibitor	Enalaprilat1636
Lisinopril	inhibitor	1636	ACE	Inhibitor	Lisinopril1636
Quinapril	inhibitor	1636	ACE	Inhibitor	Quinapril1636
Zofenopril	inhibitor	1636	ACE	Inhibitor	Zofenopril1636
Benazepril	inhibitor	1636	ACE	Inhibitor	Benazepril1636
Fosinopril	inhibitor	1636	ACE	Inhibitor	Fosinopril1636
Spirapril	inhibitor	1636	ACE	Inhibitor	Spirapril1636
Rescinnamine	inhibitor	1636	ACE	Inhibitor	Rescinnamine1636
Moexipril	inhibitor	1636	ACE	Inhibitor	Moexipril1636
Trandolapril	inhibitor	1636	ACE	Inhibitor	Trandolapril1636
Ramipril	inhibitor	1636	ACE	Inhibitor	Ramipril1636
Cilazapril	inhibitor	1636	ACE	Inhibitor	Cilazapril1636
Enalapril	inhibitor	1636	ACE	Inhibitor	Enalapril1636
Captopril	inhibitor	1636	ACE	Inhibitor	Captopril1636
Carbidopa	inhibitor	1644	DDC	Inhibitor	Carbidopa1644
Methyldopa	inhibitor	1644	DDC	Inhibitor	Methyldopa1644
Benserazide	inhibitor	1644	DDC	Inhibitor	Benserazide1644
Ursodeoxycholic acid	inducer	1646	AKR1C2	Activator	Ursodeoxycholic acid1646
Pralatrexate	substrate|inhibitor	1719	DHFR	Inhibitor	Pralatrexate1719
Proguanil	inhibitor	1719	DHFR	Inhibitor	Proguanil1719
